"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.457248658E0,-9.624916315E-2,1.199241519E0,-1.466388702E0,1.896770927E0
2.475827876E0,1.940998435E-2,1.182947874E0,-1.704785347E0,2.075098913E0
2.494389126E0,2.575816512E-1,1.108917713E0,-1.547026634E0,1.920765006E0
2.512932460E0,3.703811169E-1,9.947755933E-1,-8.602027893E-1,1.366275774E0
2.531493710E0,2.667848468E-1,8.603302836E-1,-1.746454239E-1,9.175202317E-1
2.550054960E0,6.177207828E-2,7.401140928E-1,2.429857254E-1,7.814260828E-1
2.569003293E0,5.833631754E-2,7.992097139E-1,3.720684052E-1,8.835010984E-1
2.587935637E0,2.730874419E-1,9.516555071E-1,3.311758041E-1,1.043983893E0
2.606819335E0,3.464712799E-1,1.078650713E0,2.623157501E-1,1.162901226E0
2.625751626E0,3.187190890E-1,1.218712330E0,1.096792221E-1,1.264464761E0
2.644734230E0,2.532431781E-1,1.358181477E0,-2.141475677E-2,1.381755269E0
2.663666366E0,4.374856353E-1,1.288064122E0,-2.719402313E-2,1.360603682E0
2.682598762E0,4.929648936E-1,1.139942527E0,6.104087830E-2,1.243466662E0
2.701481210E0,4.553086758E-1,1.093353152E0,2.138853073E-1,1.203525667E0
2.720416887E0,5.383235216E-1,9.662864804E-1,5.462446213E-1,1.233647017E0
2.739364283E0,4.688877463E-1,6.736226082E-1,1.004426956E0,1.297110885E0
2.758296626E0,1.230454445E-2,5.161931515E-1,1.677844048E0,1.755496346E0
2.777210689E0,-3.895167708E-1,6.540216208E-1,2.357452393E0,2.477306880E0
2.795991730E0,2.310404330E-1,7.594120502E-1,2.651683807E0,2.767943886E0
2.814600741E0,1.306050420E0,5.993449688E-1,2.358340263E0,2.761657272E0
2.833162251E0,1.896985769E0,1.205307841E-1,1.463985443E0,2.399236557E0
2.851723241E0,1.519850731E0,-2.031457126E-1,6.698732376E-1,1.673303493E0
2.870236783E0,7.759292722E-1,-3.359999061E-1,-8.705615997E-2,8.500240863E-1
2.888798033E0,-4.127718508E-2,-4.927574992E-1,-4.552164078E-1,6.721128900E-1
2.907408241E0,-6.923721433E-1,-4.349750876E-1,-2.157840729E-1,8.456626264E-1
2.925968345E0,-3.041177392E-1,-7.173165083E-1,2.378177643E-2,7.794845382E-1
2.944530741E0,1.410616040E-1,-8.228425980E-1,-3.680229187E-3,8.348543952E-1
2.963043085E0,2.072070837E-1,-8.897084594E-1,1.135625839E-1,9.205500414E-1
2.981607460E0,-1.719552875E-1,-1.052680969E0,2.139282227E-1,1.087874592E0
3.000213397E0,-7.147628665E-1,-1.152771831E0,-5.809879303E-2,1.357624513E0
3.018774647E0,-7.069542408E-1,-1.104191065E0,-4.121065140E-1,1.374355844E0
3.037288189E0,-4.556491971E-1,-9.470492601E-1,-4.903335571E-1,1.159717849E0
3.055849439E0,-2.903338075E-1,-8.142857552E-1,-6.751537323E-1,1.096899071E0
3.074428658E0,-1.977991462E-1,-7.724859715E-1,-1.266560555E0,1.496674553E0
3.092989908E0,-4.262299240E-1,-5.946114659E-1,-1.911213875E0,2.046453815E0
3.111551210E0,-5.984472632E-1,-4.481154680E-1,-2.183448792E0,2.307898443E0
3.130094491E0,-7.743648291E-1,-3.287037611E-1,-1.794601917E0,1.981989680E0
3.148655741E0,-9.280992150E-1,-2.560469508E-1,-1.152828217E0,1.501979058E0
3.167264751E0,-9.300047755E-1,-2.376883626E-1,-6.458730698E-1,1.156960095E0
3.185827199E0,-8.025237322E-1,-1.326599121E-1,-5.866775513E-1,1.002912530E0
3.204387303E0,-6.107398868E-1,4.106962681E-2,-6.869401932E-1,9.200960561E-1
3.222900845E0,-2.890979052E-1,1.395008564E-1,-7.219667435E-1,7.901101609E-1
3.241462095E0,-2.692722678E-1,2.334421277E-1,-5.846233368E-1,6.846803832E-1
3.260071105E0,-3.671681881E-1,2.966840863E-1,-1.648397446E-1,5.000060668E-1
3.278632355E0,-4.488019943E-1,5.279687047E-1,3.543386459E-1,7.782866177E-1
3.297145897E0,-3.656092286E-1,6.505784392E-1,5.151500702E-1,9.068086945E-1
3.315707147E0,-3.760373294E-1,7.379780412E-1,3.650674820E-1,9.051463577E-1
3.334316158E0,-5.070049763E-1,7.585859895E-1,2.977037430E-1,9.597574006E-1
3.352877460E0,-4.461484551E-1,7.712194920E-1,4.807662964E-1,1.012405146E0
3.371439751E0,-4.448068142E-1,7.233828306E-1,7.304468155E-1,1.120128730E0
3.389952199E0,-5.991816521E-1,6.210798621E-1,1.006576538E0,1.325879019E0
3.408513501E0,-6.895961165E-1,4.738928676E-1,1.162113190E0,1.432000112E0
3.427092720E0,-7.200051546E-1,4.468944669E-1,1.190762520E0,1.461518890E0
3.445653970E0,-6.304513216E-1,4.227440953E-1,1.239091873E0,1.453110494E0
3.464215220E0,-6.068046093E-1,4.538743496E-1,1.316237450E0,1.518780690E0
3.482758553E0,-6.305749416E-1,5.302958488E-1,1.179324150E0,1.438625697E0
3.501323137E0,-5.810340643E-1,6.031274199E-1,7.750492096E-1,1.141080429E0
3.519928814E0,-3.353531361E-1,4.331168532E-1,6.122102737E-1,8.214945853E-1
3.538490064E0,-1.500044316E-1,2.672177553E-1,7.251386642E-1,7.872310592E-1
